Time,Mass Change (Gt)
2017.520548,-731.2991988
2017.536986,-733.8165658
2017.539726,-734.82547
2017.621918,-752.5371803
2017.624658,-752.58641
2017.668493,-746.2581741
2017.706849,-743.5598679
2017.789041,-748.0300971
2017.791781,-748.3531502
2017.873973,-741.6705612
2017.882192,-742.5197709
2017.915068,-745.0864963
2017.947945,-741.4903175
2017.956164,-741.7630611
2017.958904,-741.9616321
2017.980822,-743.6076851
2018.013699,-746.9572135
2018.041096,-749.8553953
2018.043836,-750.1761288
2018.046575,-750.5220658
2018.079452,-753.8192217
2018.112329,-756.0088117
2018.123288,-757.3237527
2018.126027,-757.6782142
2018.145205,-759.9169352
2018.178082,-757.9365826
2018.20274,-759.8541163
2018.205479,-760.113109
2018.210959,-760.3588374
2018.243836,-762.242571
2018.276712,-764.2631462
2018.287671,-764.7634653
2018.309589,-766.8401562
2018.342466,-767.8688701
2018.369863,-770.6329771
2018.372603,-770.9942996
2018.375342,-771.3484625
2018.408219,-774.1319878
2018.441096,-771.825527
2018.454795,-775.6126976
2018.473973,-775.3337266
2018.506849,-783.9925428
2018.536986,-778.0723827
2018.539726,-777.6507197
2018.572603,-779.0367661
2018.605479,-781.1677946
2018.621918,-785.1552486
2018.624658,-785.9440917
2018.638356,-788.4876241
2018.671233,-790.262149
2018.70411,-792.1550384
2018.706849,-791.9433768
2018.736986,-793.6410239
2018.769863,-793.4116068
2018.789041,-794.4670636
2018.791781,-794.6161556
2018.80274,-795.4644638
2018.835616,-796.6556651
2018.868493,-799.6299689
2018.873973,-800.054777
2018.90137,-796.5505335
2018.934247,-797.2942954
2018.956164,-798.7143352
2018.967123,-799.1980542
2019,-800.8373865
2019.032877,-801.9530259
2019.065753,-804.7611965
2019.09863,-807.7998701
2019.131507,-810.7964646
2019.164384,-812.8271905
2019.19726,-815.1684372
2019.230137,-817.6677164
2019.260274,-817.3702317
2019.29589,-817.5611432
2019.328767,-820.0982814
2019.361644,-823.5192457
2019.394521,-826.5375293
2019.427397,-830.1766308
2019.460274,-838.8142109
2019.493151,-836.5918559
2019.526027,-856.9893647
2019.558904,-869.8141166
2019.591781,-893.1281273
2019.624658,-906.8447406
2019.657534,-912.0733194
2019.690411,-916.5472679
2019.723288,-919.4139833
2019.756164,-919.7711918
2019.789041,-917.863031
2019.821918,-909.4113716
2019.854795,-908.301756
2019.887671,-908.4141
2019.920548,-894.5236617
2019.953425,-896.7136242
2019.986301,-899.8564916
2020.019178,-899.773227
2020.052055,-903.196043
2020.084932,-905.4614485
2020.117808,-908.4752002
2020.150685,-911.6187669
2020.183562,-914.6924674
2020.216438,-917.8791384
2020.249315,-917.7691099
2020.282192,-920.1313022
2020.315068,-916.9884092
2020.347945,-914.2390527
2020.380822,-916.0241416
2020.413699,-919.957746
2020.446575,-920.8887913
2020.479452,-930.2496306
2020.512329,-944.1894865
2020.545205,-956.5889827
2020.578082,-972.0450428
2020.610959,-976.8286173
2020.643836,-981.1221433
2020.676712,-978.5371548
2020.709589,-979.6797085
2020.742466,-981.4190405
2020.775342,-984.1534889
2020.808219,-980.7700002
2020.841096,-982.9667132
2020.873973,-981.2038466
2020.906849,-979.3525142
2020.939726,-975.9552622
2020.972603,-976.9072701
2021.00274,-974.8114535
2021.035616,-974.9433792
2021.068493,-975.3348361
2021.10137,-978.0612572
2021.134247,-980.7451768
2021.167123,-982.7833727
2021.2,-984.1810218
2021.232877,-985.293764
2021.265753,-984.1289874
2021.293151,-979.6066087
2021.331507,-982.3361633
2021.369863,-982.6628749
2021.39726,-984.1137459
2021.430137,-989.7234845
2021.463014,-1002.002918
2021.49589,-1008.637947
2021.528767,-1006.155217
2021.561644,-1001.403032
2021.594521,-1017.220156
2021.627397,-1016.665763
2021.660274,-1020.076644
2021.693151,-1018.445295
2021.726027,-1020.542309
2021.758904,-1021.165777
2021.791781,-1012.258178
2021.824658,-1011.889245
2021.857534,-1010.085419
2021.890411,-1012.789223
2021.923288,-1010.189369
2021.956164,-1013.329987
2021.989041,-1016.077981
