Time,Mass Change (Gt)
2018.934247,-127.6636274
2018.956164,-127.9775354
2018.967123,-126.5634223
2019,-126.8913485
2019.032877,-124.2074045
2019.065753,-115.0661908
2019.09863,-115.766677
2019.131507,-116.6254799
2019.164384,-117.1134738
2019.19726,-117.9398087
2019.230137,-115.6726858
2019.260274,-114.2532833
2019.29589,-114.8030353
2019.328767,-113.2043524
2019.361644,-113.5820787
2019.394521,-118.0631295
2019.427397,-121.4098313
2019.460274,-143.7445756
2019.493151,-162.8584555
2019.526027,-187.0040196
2019.558904,-210.0922462
2019.591781,-237.5950995
2019.624658,-248.7901291
2019.657534,-250.3134761
2019.690411,-245.5452155
2019.723288,-234.1255545
2019.756164,-231.4530219
2019.789041,-231.0898847
2019.821918,-231.7521853
2019.854795,-232.3289713
2019.887671,-230.0069727
2019.920548,-230.1830439
2019.953425,-222.7102317
2019.986301,-222.6449353
2020.019178,-216.2217307
2020.052055,-204.2848875
2020.084932,-198.6172339
2020.117808,-195.5171126
2020.150685,-196.1566834
2020.183562,-195.0832912
2020.216438,-196.0796431
2020.249315,-196.8670545
2020.282192,-196.6145007
2020.315068,-196.9048025
2020.347945,-198.946558
2020.380822,-199.0067714
2020.413699,-199.0677822
2020.446575,-202.7165602
2020.479452,-209.6416061
2020.512329,-227.5123183
2020.545205,-239.6338621
2020.578082,-248.6975626
2020.610959,-247.4033378
2020.643836,-247.2363153
2020.676712,-248.151487
2020.709589,-247.1661879
2020.742466,-245.815394
2020.775342,-231.2642861
2020.808219,-229.8424029
2020.841096,-226.7609824
2020.873973,-223.867405
2020.906849,-223.5593228
2020.939726,-223.5816192
2020.972603,-224.0307294
2021.00274,-215.1744931
2021.035616,-215.9326197
2021.068493,-214.0966966
2021.10137,-209.701072
2021.134247,-200.2302383
2021.167123,-194.4784835
2021.2,-194.8866193
2021.232877,-194.0333811
2021.265753,-193.8714644
2021.293151,-189.7106452
2021.331507,-190.3029367
2021.369863,-191.7286732
2021.39726,-193.5511489
2021.430137,-200.2665293
2021.463014,-208.4830177
2021.49589,-226.5210822
2021.528767,-240.3872561
2021.561644,-257.810306
2021.594521,-279.6672588
2021.627397,-288.185173
2021.660274,-292.6763956
2021.693151,-282.8390728
2021.726027,-265.4800571
2021.758904,-260.1169912
2021.791781,-260.0072229
2021.824658,-256.1129225
2021.857534,-255.8348675
2021.890411,-245.6093959
2021.923288,-244.7193179
2021.956164,-238.4210286
2021.989041,-238.6881947
