Time,Mass Change (Gt)
2017.158904,-619.1688673
2017.191781,-621.4017869
2017.20274,-621.7173426
2017.205479,-621.7778124
2017.224658,-619.5196888
2017.287671,-622.4925651
2017.369863,-619.1503209
2017.372603,-619.4198715
2017.389041,-616.8585818
2017.421918,-620.5999978
2017.454795,-628.0898107
2017.487671,-634.8973804
2017.520548,-638.0832981
2017.536986,-642.5919738
2017.539726,-643.0109654
2017.621918,-664.4872093
2017.624658,-664.1032947
2017.668493,-658.9489074
2017.706849,-655.9802938
2017.789041,-658.6252095
2017.791781,-658.802419
2017.873973,-642.9296745
2017.882192,-643.3458801
2017.915068,-644.0951308
2017.947945,-642.6518634
2017.956164,-642.8987575
2017.958904,-642.9126158
2017.980822,-643.7523773
2018.013699,-645.1917197
2018.041096,-646.206468
2018.043836,-646.3758467
2018.046575,-646.5803691
2018.079452,-648.3995448
2018.112329,-647.986098
2018.123288,-648.7457586
2018.126027,-648.973386
2018.145205,-649.7628191
2018.178082,-650.1262325
2018.20274,-649.8353814
2018.205479,-650.0139002
2018.210959,-650.4731637
2018.243836,-651.4570763
2018.276712,-652.7999621
2018.287671,-652.9261473
2018.309589,-653.6620335
2018.342466,-652.9793132
2018.369863,-654.5386561
2018.372603,-654.830431
2018.375342,-655.1633767
2018.408219,-657.1322074
2018.441096,-657.0950741
2018.454795,-660.3746129
2018.473973,-665.1882889
2018.506849,-670.2241367
2018.536986,-675.332643
2018.539726,-674.4501935
2018.572603,-677.8342913
2018.605479,-684.2999758
2018.621918,-689.2808031
2018.624658,-689.8362752
2018.638356,-691.6489901
2018.671233,-692.2860964
2018.70411,-692.8163042
2018.706849,-692.9369102
2018.736986,-694.3182974
2018.769863,-693.1689326
2018.789041,-694.3525785
2018.791781,-694.378746
2018.80274,-694.7504767
2018.835616,-694.1588045
2018.868493,-694.9094991
2018.873973,-694.9777769
2018.90137,-695.8790812
2018.934247,-696.2446058
2018.956164,-697.5418007
2018.967123,-697.8698729
2019,-694.2408646
2019.032877,-692.9017666
2019.065753,-694.0019409
2019.09863,-696.0576822
2019.131507,-698.2984064
2019.164384,-699.727141
2019.19726,-701.3111271
2019.230137,-702.070302
2019.260274,-700.4171978
2019.29589,-701.7588015
2019.328767,-703.8480621
2019.361644,-709.5877455
2019.394521,-715.6816872
2019.427397,-723.2163405
2019.460274,-735.1780059
2019.493151,-740.085358
2019.526027,-754.1495541
2019.558904,-768.2687518
2019.591781,-785.9776908
2019.624658,-795.5986514
2019.657534,-799.8581477
2019.690411,-800.4945749
2019.723288,-801.4620159
2019.756164,-802.7187275
2019.789041,-802.4280341
2019.821918,-803.2108675
2019.854795,-804.5688302
2019.887671,-803.9341856
2019.920548,-801.8197397
2019.953425,-802.3112593
2019.986301,-804.4364822
2020.019178,-804.1170432
2020.052055,-805.4997165
2020.084932,-806.6766316
2020.117808,-807.8371349
2020.150685,-809.8399849
2020.183562,-811.0253266
2020.216438,-812.9562763
2020.249315,-808.1124681
2020.282192,-809.8388448
2020.315068,-807.475929
2020.347945,-806.3203271
2020.380822,-808.7442719
2020.413699,-811.5674052
2020.446575,-812.7040663
2020.479452,-818.290898
2020.512329,-829.1341525
2020.545205,-837.1992844
2020.578082,-845.127949
2020.610959,-847.7063659
2020.643836,-851.0990548
2020.676712,-853.7345491
2020.709589,-853.001254
2020.742466,-851.8174948
2020.775342,-853.8799265
2020.808219,-848.1618737
2020.841096,-849.3047598
2020.873973,-847.5624244
2020.906849,-848.404174
2020.939726,-846.783911
2020.972603,-848.5739044
2021.00274,-845.4847146
2021.035616,-843.566687
2021.068493,-845.4962384
2021.10137,-846.2110607
2021.134247,-847.7522024
2021.167123,-849.4273676
2021.2,-850.8383048
2021.232877,-850.0688939
2021.265753,-845.658516
2021.293151,-839.1162799
2021.331507,-842.7111686
2021.369863,-845.6202954
2021.39726,-847.8229808
2021.430137,-855.5119328
2021.463014,-863.3695244
2021.49589,-865.221197
2021.528767,-866.9984769
2021.561644,-871.1563787
2021.594521,-885.893417
2021.627397,-889.9606165
2021.660274,-896.5296604
2021.693151,-895.4836681
2021.726027,-895.4317886
2021.758904,-897.8265376
2021.791781,-898.0222685
2021.824658,-898.8743259
2021.857534,-894.3568721
2021.890411,-894.5925138
2021.923288,-888.6530929
2021.956164,-890.7201322
2021.989041,-893.4645493
